Bibliography,,,,,,,,,
Title,Authors,Journal,Volume,Issue,Page,DOI,Year,Covidence ID,Author / Year 
Dispossession and governance: The invisible role of indigenous peoples in protected natural areas in Chile,"Huaiquimilla-Guerrero, Katherine; Moscote-Guerra, Jeimy; Ramirez-Rivera, Sebastian; Duhalde-Correa, Luciano A.; Peralta-Scholz, Maria Jose; Silva, Fernanda Orellana; Plaza, Veronica; Barrera, Adrian Sanhueza; Squeo, Francisco A.; Gaymer, Carlos F.",ENVIRONMENTAL SCIENCE & POLICY,150,,,10.1016/j.envsci.2023.103587,2023,#52,Huaiquimilla-Guerrero 2023
Do changes in microhabitat availability within a Marine Reserve reduce the species richness of small mobile macrofauna and meiofauna?,"Lee, Matthew R.; Carlos Castilla, Juan",JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,92,6,1283-1288,10.1017/S0025315411001172,2012,#311,Lee 2012
Effects of human exclusion on parasitism in intertidal food webs of central Chile,"Loot, G; Aldana, M; Navarrete, SA",CONSERVATION BIOLOGY,19,1,203-212,"
10.1111/j.1523-1739.2005.00396.x",2005,#402,Loot 2005
Evidence of plasticity in the reproduction of a trematode parasite: The effect of host removal,"Lopez, Boris A.; Ramirez, Ruben O.; Guzman, Elizabeth A.",JOURNAL OF PARASITOLOGY,94,1,23-27,"
10.1645/GE-1278.1",2008,#370,Loot 2008
Does the harvest of the natural populations of the floating seaweed Durvillaea incurvata (Surh) Macaya affect its dispersal potential?,"Pollack, Gudrun; Berghoefer, Augustin; Berghoefer, Uta",ALGAL RESEARCH-BIOMASS BIOFUELS AND BIOPRODUCTS,80,,,10.1016/j.algal.2024.103516,2024,#37,Lopez 2024
Marine protected areas invaded by floating anthropogenic litter: An example from the South Pacific,"Luna-Jorquera, Guillermo; Thiel, Martin; Portflitt-Toro, Matias; Dewitte, Boris",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,29,,245-259,10.1002/aqc.3095,2019,#163,Luna-Jorquera 2019
Significance of marine protected areas in central Chile as seeding grounds for the gastropod Concholepas concholepas,"Manriquez, Patricio H.; Castilla, Juan Carlos",Marine Ecology Progress Series,215,,201-211,10.3354/meps215201,2001,#417,Manriquez 2001
"Empirical evidence for large-scale human impact on intertidal aggregations, larval supply and recruitment of Pyura praeputialis around the Bay of Antofagasta, Chile","Manriquez, Patricio H.; Carlos Castilla, Juan; Ortiz, Veronica; Elisa Jara, Maria",AUSTRAL ECOLOGY,41,6,701-714,10.1111/aec.12359,2016,#234,Manriquez 2016
Disaster impacts on co-management networks: longitudinal and comparative analysis of Chilean small-scale fisheries,"Mar√≠n, A.; Bodin, &√ñ.; Gelcich, S.; Castilla, J.C.",Frontiers in Marine Science ,10,,,10.3389/fmars.2023.1308656,2023,#512,MarÌn 2023
Temporal and spatial variation in settlement of the gastropod Concholepas concholepas in natural and artificial substrata,"Mart√≠nez, P; Navarrete, SA",JOURNAL OF THE MARINE BIOLOGICAL ASSOCIATION OF THE UNITED KINGDOM,82,2,257-264,10.1017/S002531540200543X,2002,#413,MartÌnez 2002
