Bibliographic,,,Study methods,,,,,,,,,,Study outcomes,,,,,,,,,Effect size,,Comparator (spatial),,,,Comparator (temporal),,,,,,Reviewer comments,,,,,
Covidence ID,Citation,Data point,Study focus,Outcome measure focus,Source of data,Data type,Primary data collection method,Primary data collection method,Primary data collection method,Secondary data type,Secondary data source,Secondary data source,Outcome category,Analysis,Outcome measure,Taxon,Species,Unit,Additional treatment variables,Demographic groups,Qualitative analysis,Statistical analysis of impacts,Statistical methods,Number of reference sites (MPA),Number of comparator sites (OA),Number of reference sites (TURF),Number of reference sites (MEABR),Study start date,Study end date,Study duration,Number of time intervals,Before / after study,BACI study,,,,,,
#295,Friedlander 2013,4,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Abundance,Descriptive,Percentage cover ,Porites,Porites lobata,%,N/A,N/A,N/A,No,N/A,1,1,0,0,2011,2011,<1,1,No,No,,,,,,
#295,Friedlander 2013,5,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Abundance,Descriptive,Percentage cover ,Crustose coralline algae,N/A,%,N/A,N/A,N/A,No,N/A,1,1,0,0,2011,2011,<1,1,No,No,,,,,,
#295,Friedlander 2013,6,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Abundance,Descriptive,Percentage cover ,Pocillopora,Pocillopora spp,%,N/A,N/A,N/A,No,N/A,1,1,0,0,2011,2011,<1,1,No,No,,,,,,
#295,Friedlander 2013,7,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Abundance,Descriptive,Percentage cover ,Rock,,%,N/A,N/A,N/A,No,N/A,1,1,0,0,2011,2011,<1,1,No,No,,,,,,
#295,Friedlander 2013,8,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Abundance,Descriptive,Percentage cover ,"Coral, Algae","Dead coral, turf algae",%,N/A,N/A,N/A,No,N/A,1,1,0,0,2011,2011,<1,1,No,No,NMDS with anosim,,,,,
#295,Friedlander 2013,9,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Abundance,Descriptive,Percentage cover ,Lobophora,Lobophora variegata,%,N/A,N/A,N/A,No,N/A,1,1,0,0,2011,2011,<1,1,No,No,Means + st dev for many species at different depth range in MPA vs OA,,,,,
#295,Friedlander 2013,10,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Density,Inferential analysis,Density,Fish,N/A,individuals/m2,N/A,N/A,N/A,Yes,ANOVA,1,1,0,0,2011,2011,<1,1,No,No,,,,,,
#295,Friedlander 2013,11,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Richness,Descriptive,Species richness,Fish,N/A,no. of species,N/A,N/A,N/A,No,N/A,1,1,0,0,2011,2011,<1,1,No,No,,,,,,
#295,Friedlander 2013,12,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Biomass,Descriptive,Biomass,Fish,N/A,t/ha,Depth,N/A,N/A,No,N/A,1,1,0,0,2011,2011,<1,1,No,No,,,,,,
#295,Friedlander 2013,13,Environmental,Environmental,Primary,Quantitative,Direct non-extractive sampling,N/A,N/A,N/A,N/A,N/A,Biomass,Descriptive,Biomass,Fish,N/A,t/ha,Depth,N/A,N/A,No,N/A,1,1,0,0,2011,2011,<1,1,No,No,,,,,,
#292,Wood 2013,1,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Parasitism,Inferential analysis,Parasite prevalence,"Fish, Trematode parasite","C. variegatus, Encotyllabe sp",no. of individuals per host,N/A,N/A,N/A,Yes,GLMNB,1,3,0,2,2008,2008,<1,1,No,No,,,,,,
#292,Wood 2013,2,Environmental,Environmental,Primary,Quantitative,Direct extractive sampling,Laboratory analysis,N/A,N/A,N/A,N/A,Parasitism,Inferential analysis,Parasite prevalence,"Fish, parasite","C. variegatus, Lepeophtheirus sp.",no. of individuals per host,N/A,N/A,N/A,Yes,GLMNB,1,3,0,2,2008,2008,<1,1,No,No,,,,,,
